Salary,Age,Weight,Name
1210800.0,24.0,210.0,Andre Roberson
4500000.0,28.0,228.0,Kyle Singler
5138430.0,24.0,220.0,Dion Waiters
16744218.0,27.0,200.0,Russell Westbrook
525093.0,20.0,240.0,Cliff Alexander
8042895.0,25.0,215.0,Al-Farouq Aminu
625093.0,23.0,206.0,Pat Connaughton
947276.0,24.0,210.0,Allen Crabbe
6980802.0,27.0,240.0,Ed Davis
2894059.0,23.0,215.0,Maurice Harkless
6000000.0,28.0,215.0,Gerald Henderson
5016000.0,34.0,265.0,Chris Kaman
3075880.0,24.0,245.0,Meyers Leonard
4236287.0,25.0,195.0,Damian Lillard
2525160.0,24.0,200.0,C.J. McCollum
525093.0,23.0,185.0,Luis Montero
1415520.0,26.0,235.0,Mason Plumlee
2854940.0,30.0,173.0,Brian Roberts
2637720.0,20.0,240.0,Noah Vonleh
4775000.0,28.0,228.0,Trevor Booker
2658240.0,23.0,191.0,Trey Burke
9463484.0,24.0,214.0,Alec Burks
3777720.0,20.0,190.0,Dante Exum
12000000.0,24.0,265.0,Derrick Favors
1175880.0,23.0,245.0,Rudy Gobert
15409570.0,26.0,226.0,Gordon Hayward
1348440.0,23.0,206.0,Rodney Hood
2050000.0,28.0,226.0,Joe Ingles
981348.0,26.0,206.0,Chris Johnson
2239800.0,20.0,234.0,Trey Lyles
2433333.0,26.0,203.0,Shelvin Mack
900000.0,24.0,179.0,Raul Neto
2900000.0,26.0,256.0,Tibor Pleiss
947276.0,26.0,231.0,Jeff Withey
